ゑ辽腹,翴嘿,禜(絏/),畒夹(菠),绰(菠),蔼(︳衡),絥,竒
1,郴加腹,C0Z100/狥地,"2353'58""N 12132'40""E",181玭,5加,23.8994,121.5444
2,郴加腹,C0Z100/狥地,"2353'59""N 12132'41""E",175玭,5加,23.8997,121.5447
3,郴加腹,C0Z100/狥地,"2353'59""N 12132'42""E",180玭,5加,23.8997,121.545
4,郴加腹,C0Z100/狥地,"2353'58""N 12132'40""E",161玭,5加,23.8994,121.5444
5,郴加き腹,C0Z100/狥地,"2353'58""N 12132'41""E",208﹁玭,5加,23.8994,121.5447
6,郴加せ腹,C0Z100/狥地,"2353'58""N 12132'40""E",208﹁玭,5加,23.8994,121.5444
7,郴加腹,C0Z100/狥地,"2353'58""N 12132'40""E",172玭,5加,23.8994,121.5444
8,D303,C0Z100/狥地,"2353'59""N 12132'42""E",219﹁玭,3加,23.8997,121.545
9,E303,C0Z100/狥地,"2353'58""N 12132'40""E",151狥玭,3加,23.8994,121.5444
10,加腹,C0Z100/狥地,"2353'58""N 12132'40""E",223﹁玭,1加,23.8994,121.5444
11,加腹,C0Z100/狥地,"2353'59""N 12132'41""E",131狥玭,1加,23.8997,121.5447
12,加腹,C0Z100/狥地,"2353'59""N 12132'41""E",298﹁,1加,23.8997,121.5447
13,恨瞶腹,C0Z100/狥地,"2353'52""N 12132'22""E",249﹁,5加,23.8978,121.5394
14,恨瞶腹,C0Z100/狥地,"2353'52""N 12132'22""E",197玭,5加,23.8978,121.5394
15,盵腹,466990/浆,"240'33""N 12137'02""E",127狥玭,1加,24.0092,121.6172
16,盵腹,466990/浆,"240'32""N 12137'02""E",82狥,1加,24.0089,121.6172
17,產畐,466990浆カ禯瞒浆カ禜(盺刁)2.8そń,╬ぃ矗ㄑ畒夹籔蔼,╬ぃ矗ㄑ绰,,23.97694,121.60472
